images,link,author,publish_date,title
,https://techcrunch.com/2019/05/23/online-bank-simple-makes-things-harder-by-removing-bill-pay/,Sarah Perez,"Fri, 24 May 2019 01:54:08 +0000",Online bank Simple makes things harder by removing bill pay
,https://techcrunch.com/2019/05/23/the-u-s-senate-is-coming-after-loot-boxes/,Lucas Matney,"Fri, 24 May 2019 01:39:35 +0000",The U.S. Senate is coming after ‘loot boxes’
,https://techcrunch.com/2019/05/23/limes-founding-ceo-steps-down-as-his-co-founder-takes-control/,Kate Clark,"Fri, 24 May 2019 01:27:59 +0000",Lime’s founding CEO steps down as his co-founder takes control
,https://techcrunch.com/2019/05/23/canopys-upscale-co-working-business-adds-a-new-location-in-sf-on-the-heels-of-strategic-funding/,Jonathan Shieber,"Fri, 24 May 2019 00:39:23 +0000",Canopy’s upscale co-working business adds a new location in SF on the heels of strategic funding
,https://techcrunch.com/2019/05/23/you-can-do-it-robot-watch-the-beefy-4-legged-hyqreal-pull-a-plane/,Devin Coldewey,"Thu, 23 May 2019 23:47:17 +0000","You can do it, robot! Watch the beefy, 4-legged HyQReal pull a plane"
,https://techcrunch.com/2019/05/23/automakers-faced-with-a-choice-become-data-companies-or-become-irrelevant/,David Riggs,"Thu, 23 May 2019 23:00:59 +0000",Automakers have a choice: Become data companies or become irrelevant
,https://techcrunch.com/2019/05/23/streem-buys-selerio-in-effort-to-boost-its-ar-teleconferencing-tech/,Lucas Matney,"Thu, 23 May 2019 22:51:18 +0000",Streem buys Selerio in effort to boost its AR teleconferencing tech
,https://techcrunch.com/2019/05/23/snap-head-diversity-inclusion/,Megan Rose Dickey,"Thu, 23 May 2019 22:40:07 +0000","Snap, which has yet to release a diversity report, hires its first head of D&I"
,https://techcrunch.com/2019/05/23/original-content-game-of-thrones-finale/,Anthony Ha,"Thu, 23 May 2019 22:05:30 +0000","Original Content podcast: Dragons love symbolism, and other lessons from the ‘Game of Thrones’ finale"
,https://techcrunch.com/2019/05/23/julian-assange-espionage-act/,Zack Whittaker,"Thu, 23 May 2019 20:48:49 +0000",WikiLeaks’ Assange charged under the Espionage Act in a ‘major test case’ for press freedom
,https://techcrunch.com/2019/05/23/shopify-quietly-acquired-handshake-an-e-commerce-platform-for-b2b-wholesale-purchasing/,Ingrid Lunden,"Thu, 23 May 2019 20:29:15 +0000","Shopify quietly acquired Handshake, an e-commerce platform for B2B wholesale purchasing"
,https://techcrunch.com/2019/05/23/former-fda-chief-scott-gottlieb-has-rejoined-the-venture-world-but-he-hasnt-forgotten-juul/,Connie Loizos,"Thu, 23 May 2019 19:41:32 +0000",Former FDA chief Scott Gottlieb has rejoined the venture world — but he hasn’t forgotten Juul
,https://techcrunch.com/2019/05/23/microsofts-new-language-learning-app-uses-your-phones-camera-and-computer-vision-to-teach-vocabulary/,Sarah Perez,"Thu, 23 May 2019 19:20:40 +0000",Microsoft’s new language learning app uses your phone’s camera and computer vision to teach vocabulary
,https://techcrunch.com/2019/05/23/fresh-off-a-530m-round-aurora-acquires-lidar-startup-blackmore/,Kirsten Korosec,"Thu, 23 May 2019 19:12:46 +0000","Fresh off a $530M round, Aurora acquires lidar startup Blackmore"
,https://techcrunch.com/2019/05/23/cruise-releases-video-purporting-1400-successful-unprotected-left-hand-turns/,Matt Burns,"Thu, 23 May 2019 19:05:42 +0000","Cruise says its AV successfully completed 1,400 unprotected left-hand turns"
,https://techcrunch.com/2019/05/23/from-launch-to-launch-peter-beck-on-building-an-orbital-business-from-scratch/,Devin Coldewey,"Thu, 23 May 2019 19:03:23 +0000",From launch to launch: Peter Beck on building Rocket Lab’s orbital business
,https://techcrunch.com/2019/05/23/dailycrunch-indiegogo-ceo/,Anthony Ha,"Thu, 23 May 2019 18:50:47 +0000",Daily Crunch: Indiegogo has a new CEO
,https://techcrunch.com/2019/05/23/india-modi-silicon-valley-future-internet/,Manish Singh,"Thu, 23 May 2019 18:30:08 +0000",Indian PM Narendra Modi’s reelection spells more frustration for US tech giants
,https://techcrunch.com/2019/05/23/amazon-is-reportedly-working-on-an-emotion-tracking-alexa-wearable/,Brian Heater,"Thu, 23 May 2019 18:12:21 +0000",Amazon is reportedly working on an emotion-tracking Alexa wearable
,https://techcrunch.com/2019/05/23/star-trek-picard-trailer/,Greg Kumparak,"Thu, 23 May 2019 18:08:53 +0000",Here’s the first teaser trailer for the new Star Trek: Picard series
